sort,family_scientific,family_english,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,red_list,status_birdlife,water_bird,strict_water_bird,ADU,common_name,scientific_name,avibaseid,wikiDataID,iNaturalisttaxonID,IUCNtaxonID,ObservationorgID,GBIFID,Clements--code,Clements--rank,Clements--scientific_name,Clements--common_name,H&M--sort,,,,,
40,Phasianidae,"Francolins, Spurfowl and Quails",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,174,Crested Francolin,Dendroperdix sephaena,8004C7E5858F416E,Q27074564,154493,22678752,70275,5844225,crefra2,species,Dendroperdix sephaena,Crested Francolin,013-005-002-001,,,,,
41,Phasianidae,"Francolins, Spurfowl and Quails",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,173,Coqui Francolin,Peliperdix coqui,ECD7C1D8CD5ECD48,Q27074556,550883,22678736,70271,2473913,coqfra2,species,Peliperdix coqui,Coqui Francolin,013-005-003-001,,,,,
42,Phasianidae,"Francolins, Spurfowl and Quails",,,,,,,,,,TRUE,,,,,,,,,,,,,,Near Threatened,,,,1256,Ring-necked Francolin,Scleroptila streptophora,5B115F6CE2E6426E,Q959798,,22678756,,6101189,rinfra2,species,Scleroptila streptophora,Ring-necked Francolin,013-005-004-001,,,,,
43,Phasianidae,"Francolins, Spurfowl and Quails",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,178,Red-winged Francolin,Scleroptila levaillantii,B49935ED3B58A9BB,Q1260750,550886,22678769,,2473796,rewfra2,species,Scleroptila levaillantii,Red-winged Francolin,013-005-004-002,,,,,
44,Phasianidae,"Francolins, Spurfowl and Quails",,,TRUE,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,177,Shelley's Francolin,Scleroptila shelleyi,3A56BE4C9393BCB6,Q1274605,550890,22728223,,2473870,shefra2,species,Scleroptila shelleyi,Shelley's Francolin,013-005-004-006,,,,,
45,Phasianidae,"Francolins, Spurfowl and Quails",,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,Elgon Francolin,Scleroptila elgonensis,3D25568AB8358C27,Q5360088,718913,,,3190463,moofra3,group (monotypic),Scleroptila psilolaema elgonensis,Moorland Francolin (Elgon),013-005-004-005-002,,,,,
46,Phasianidae,"Francolins, Spurfowl and Quails",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1268,Archer’s Francolin ,Scleroptila gutturalis,8E833C63E70A547C,Q25269458,550887,22678790,70282,2680976,orrfra2,species,Scleroptila gutturalis,Orange River Francolin,013-005-004-007,,,,,
47,Podicipedidae,Grebes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,6,Little Grebe,Tachybaptus ruficollis,215FEA89A0F19F5C,Q25421,4237,22696545,2,2482048,litgre1,species,Tachybaptus ruficollis,Little Grebe,015-001-002-002,,,,,
48,Podicipedidae,Grebes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,4,Great Crested Grebe,Podiceps cristatus,8F269702DC208010,Q25422,4208,22696602,91,2482054,grcgre1,species,Podiceps cristatus,Great Crested Grebe,015-001-006-003,,,,,
49,Podicipedidae,Grebes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,5,Black-necked Grebe,Podiceps nigricollis,32DCEC14D7AE129B,Q185183,4205,22696610,3,2482065,eargre,species,Podiceps nigricollis,Eared Grebe,015-001-006-005,,,,,
